LOCATION,SUBJECT,TIME,NIVEAU_ECRIT
SVK,GIRL,2006,488.0
SVK,GIRL,2009,503.0
SVK,GIRL,2012,483.303
SVK,GIRL,2015,471.0
SVK,GIRL,2018,475.0
ESP,BOY,2000,481.0
ESP,BOY,2003,461.0
ESP,BOY,2006,443.0
ESP,BOY,2009,467.0
ESP,BOY,2012,473.806
ESP,BOY,2015,485.0
ESP,GIRL,2000,505.0
ESP,GIRL,2003,500.0
ESP,GIRL,2006,479.0
ESP,GIRL,2009,496.0
ESP,GIRL,2012,502.511
ESP,GIRL,2015,506.0
SWE,BOY,2000,499.0
SWE,BOY,2003,496.0
SWE,BOY,2006,488.0
SWE,BOY,2009,475.0
SWE,BOY,2012,457.991
SWE,BOY,2015,481.0
SWE,BOY,2018,489.0
SWE,GIRL,2000,536.0
SWE,GIRL,2003,533.0
SWE,GIRL,2006,528.0
SWE,GIRL,2009,521.0
SWE,GIRL,2012,509.135
SWE,GIRL,2015,520.0
SWE,GIRL,2018,523.0
CHE,BOY,2000,480.0
CHE,BOY,2003,482.0
CHE,BOY,2006,484.0
CHE,BOY,2009,481.0
CHE,BOY,2012,491.074
CHE,BOY,2015,480.0
CHE,BOY,2018,469.0
CHE,GIRL,2000,510.0
CHE,GIRL,2003,517.0
CHE,GIRL,2006,515.0
CHE,GIRL,2009,520.0
CHE,GIRL,2012,527.064
CHE,GIRL,2015,505.0
CHE,GIRL,2018,500.0
TUR,BOY,2003,426.0
TUR,BOY,2006,427.0
TUR,BOY,2009,443.0
TUR,BOY,2012,452.843
TUR,BOY,2015,414.0
TUR,BOY,2018,453.0
TUR,GIRL,2003,459.0
TUR,GIRL,2006,471.0
TUR,GIRL,2009,486.0
TUR,GIRL,2012,498.64
TUR,GIRL,2015,442.0
TUR,GIRL,2018,478.0
GBR,BOY,2006,480.0
GBR,BOY,2009,481.0
GBR,BOY,2012,486.631
GBR,BOY,2015,487.0
GBR,BOY,2018,494.0
GBR,GIRL,2006,510.0
GBR,GIRL,2009,507.0
GBR,GIRL,2012,511.534
GBR,GIRL,2015,509.0
GBR,GIRL,2018,514.0
USA,BOY,2000,490.0
USA,BOY,2003,479.0
USA,BOY,2009,488.0
USA,BOY,2012,482.498
USA,BOY,2015,487.0
USA,BOY,2018,494.0
USA,GIRL,2000,518.0
USA,GIRL,2003,511.0
USA,GIRL,2009,513.0
USA,GIRL,2012,513.269
USA,GIRL,2015,507.0
USA,GIRL,2018,517.0
BRA,BOY,2000,388.0
BRA,BOY,2003,384.0
BRA,BOY,2006,376.0
BRA,BOY,2009,397.0
BRA,BOY,2012,394.184
BRA,BOY,2015,395.0
BRA,BOY,2018,400.0
BRA,GIRL,2000,404.0
BRA,GIRL,2003,419.0
BRA,GIRL,2006,408.0
BRA,GIRL,2009,425.0
BRA,GIRL,2012,424.734
BRA,GIRL,2015,419.0
BRA,GIRL,2018,426.0
CHL,BOY,2000,396.0
CHL,BOY,2006,434.0
CHL,BOY,2009,439.0
CHL,BOY,2012,429.696
CHL,BOY,2015,453.0
CHL,BOY,2018,442.0
CHL,GIRL,2000,421.0
CHL,GIRL,2006,451.0
CHL,GIRL,2009,461.0
CHL,GIRL,2012,452.371
CHL,GIRL,2015,465.0
CHL,GIRL,2018,462.0
EST,BOY,2006,478.0
EST,BOY,2009,480.0
EST,BOY,2012,494.319
EST,BOY,2015,505.0
EST,BOY,2018,508.0
