LOCATION,SUBJECT,TIME,NIVEAU_MATH
LVA,TOT,2015,482.0
RUS,TOT,2003,468.0
RUS,TOT,2006,476.0
RUS,TOT,2009,468.0
RUS,TOT,2012,482.0
RUS,TOT,2015,494.0
SGP,BOY,2015,564.0
SGP,GIRL,2015,564.0
SVN,TOT,2006,504.0
SVN,TOT,2009,501.0
SVN,TOT,2012,501.0
SVN,TOT,2015,510.0
COL,TOT,2015,390.0
COL,BOY,2015,395.0
COL,GIRL,2015,384.0
HKG,TOT,2015,548.0
HKG,BOY,2015,549.0
HKG,GIRL,2015,547.0
PER,TOT,2015,387.0
PER,BOY,2015,391.0
PER,GIRL,2015,382.0
SGP,TOT,2015,564.0
TWN,TOT,2015,542.0
TWN,BOY,2015,545.0
TWN,GIRL,2015,539.0
MAC,TOT,2015,544.0
MAC,BOY,2015,540.0
MAC,GIRL,2015,548.0
